frame_index,timestamp,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,suction_on
0,1788173771.6559217,-0.10914980089220473,-0.4868793879505466,0.28588673821035204,-1.202202153752769,2.9024523453271054,-5.667070102232641e-05,-1.570808235798971,-1.5707357565509241,-1.5707929770099085,-1.5708320776568812,1.5708225965499878,-0.7853906790362757,0
1,1788173771.6950638,-0.10913819293786055,-0.486866414297135,0.28588448075552386,-1.202233261644418,2.90242958477707,-2.207044355552289e-05,-1.5707843939410608,-1.570711914693014,-1.5708168188678187,-1.5708559195147913,1.5708225965499878,-0.7853906790362757,0
2,1788173771.735918,-0.10914433070684387,-0.486889991493069,0.28588408739411936,-1.2022150969951777,2.9024327004130726,-0.00010498170157969777,-1.570808235798971,-1.5707481543170374,-1.5707929770099085,-1.570796314870016,1.5708465576171875,-0.785403076802389,0
3,1788173771.77667,-0.10914433052471083,-0.48687469752251955,0.2858983465038569,-1.2021625746342348,2.90245465128642,-0.00010567295266562563,-1.570808235798971,-1.570711914693014,-1.5707929770099085,-1.5708320776568812,1.5708465576171875,-0.7853668371783655,0
4,1788173771.8186953,-0.10913577775484458,-0.48686548918923117,0.28589608935055244,-1.2021548261675397,2.902435945451089,-7.830909536698166e-05,-1.570796314870016,-1.5706999937640589,-1.5708048979388636,-1.5708559195147913,1.5708585977554321,-0.7853549162494105,0
5,1788173771.85895,-0.10914158173322457,-0.4868723522048771,0.28590415065867236,-1.202177364405103,2.9024414225861865,-0.00013021018944349297,-1.570808235798971,-1.5706999937640589,-1.5707929770099085,-1.5708320776568812,1.5708585977554321,-0.7853787581073206,0
6,1788173771.8991926,-0.1091501346922656,-0.4868808086598636,0.2858831908440292,-1.2021781290720168,2.902443272774949,-8.837380328399331e-05,-1.570820156727926,-1.5707357565509241,-1.5708048979388636,-1.570808235798971,1.5708465576171875,-0.7853906790362757,0
7,1788173771.939066,-0.1091330562065206,-0.4868859588860275,0.2858678480695073,-1.2021852116120206,2.9024114394888065,-8.547528137304893e-05,-1.570796314870016,-1.5707481543170374,-1.5708287397967737,-1.5707839171039026,1.5708705186843872,-0.7853787581073206,0
8,1788173771.9797068,-0.10913305620664678,-0.48687562295904874,0.28588206243846526,-1.2022025114352433,2.902404274155074,-8.547581868123811e-05,-1.570796314870016,-1.570723835621969,-1.5708168188678187,-1.570820156727926,1.5708705186843872,-0.7853906790362757,0
9,1788173772.0220127,-0.10915013463638704,-0.48687846376118415,0.28588431894821104,-1.2021106743562404,2.9024761467967215,-0.00010567269619972467,-1.570820156727926,-1.570723835621969,-1.5708168188678187,-1.570796314870016,1.5708465576171875,-0.7853429953204554,0
10,1788173772.0638046,-0.1091473856872403,-0.48687067566475967,0.2858878662484872,-1.2021219725295418,2.9024544905751837,-9.560989146990904e-05,-1.570820156727926,-1.570711914693014,-1.5708168188678187,-1.570820156727926,1.5708585977554321,-0.7853549162494105,0
11,1788173772.1053703,-0.10914158169185717,-0.4868688790804324,0.28587512954810157,-1.2021686341381612,2.9024203525416654,-4.3710800051902454e-05,-1.570808235798971,-1.570723835621969,-1.5708287397967737,-1.5708320776568812,1.5708585977554321,-0.7853787581073206,0
12,1788173772.144333,-0.10914738574312402,-0.4868730208210027,0.2858820622527696,-1.20220741836358,2.902414164085787,-7.831217809510792e-05,-1.570820156727926,-1.570723835621969,-1.5708168188678187,-1.570820156727926,1.5708585977554321,-0.785414997731344,0
13,1788173772.1841831,-0.10915013501651658,-0.48689441540812783,0.2858981853434636,-1.2021522579296253,2.902478672245756,-0.00017487359628748242,-1.570820156727926,-1.5707357565509241,-1.5707810560809534,-1.5707724730121058,1.5708465576171875,-0.7853668371783655,0
14,1788173772.2252042,-0.10899797881303563,-0.48685574498714157,0.28582580829332527,-1.2021015536245447,2.9024541339792944,8.313837602839617e-05,-1.5704963842975062,-1.5706518332110804,-1.5710089842425745,-1.570796314870016,1.5708225965499878,-0.7850192228900355,0
15,1788173772.2648802,-0.1084643076296675,-0.48682744571539965,0.28582701321091586,-1.2019617587365545,2.902461112575225,0.0001142838486748627,-1.5694168249713343,-1.5703285376178187,-1.5713203589068812,-1.5708444754229944,1.5708585977554321,-0.7838557402240198,0
16,1788173772.3059835,-0.1070634122370069,-0.4868179129970258,0.28585850202240826,-1.2021129476512347,2.9024816415618213,1.990612950993318e-05,-1.56651479402651,-1.5695245901690882,-1.5720637480365198,-1.570820156727926,1.5708105564117432,-0.7810376326190394,0
17,1788173772.3486948,-0.1054520355236302,-0.4868225311143989,0.285805735500108,-1.2021705748229596,2.9023780768015413,0.00015494784826990322,-1.5632174650775355,-1.5687688032733362,-1.5729268232928675,-1.570820156727926,1.5708465576171875,-0.7777994314776819,0
18,1788173772.3890898,-0.10356043079181798,-0.48688113234811464,0.28577590064736114,-1.2020532371451396,2.902439261386152,0.0002634730819509084,-1.5593083540545862,-1.567977253590719,-1.57377797762026,-1.570820156727926,1.5708105564117432,-0.773806397114889,0
19,1788173772.4305584,-0.10192972824791519,-0.4870881678112188,0.2858917076291196,1.2023142639311581,-2.9023824429018505,0.00014897620130095569,-1.5559504667865198,-1.567498032246725,-1.5740297476397913,-1.5707600752459925,1.570798635482788,-0.7706158796893519,0
20,1788173772.4698427,-0.10028147537800029,-0.48733676754272653,0.28582046019216767,-1.2023929421909578,2.9023277413176256,5.816472741618627e-05,-1.5525811354266565,-1.5673654715167444,-1.574305836354391,-1.5707724730121058,1.5708345174789429,-0.767306152974264,0
21,1788173772.5091486,-0.09867248302373686,-0.487587073704521,0.2858545742331464,-1.2022754491388643,2.902388555516584,-3.84445840591203e-05,-1.5492828528033655,-1.5671494642840784,-1.5744488875018519,-1.5707839171039026,1.5708465576171875,-0.7639239470111292,0
22,1788173772.5494564,-0.09707114671338105,-0.487876345111253,0.28585194753218446,-1.2020364757887432,2.90245359631271,-1.5402920633707417e-05,-1.546009365712301,-1.567089859639303,-1.5745089689837855,-1.570808235798971,1.5708705186843872,-0.7604940573321741,0
23,1788173772.59066,-0.09543809934404877,-0.4882210216969906,0.28587193244557263,-1.2021392694875468,2.902410124985552,-0.00011730063229761072,-1.542675797139303,-1.5671137014972132,-1.5744488875018519,-1.5707839171039026,1.570894479751587,-0.7572315374957483,0
24,1788173772.628549,-0.0938520628176365,-0.48866070736845446,0.28588220172734624,-1.2022687567777717,2.902427190604636,-0.00017648264417438066,-1.5394142309771937,-1.5673897902118128,-1.5741618315326136,-1.5707362333880823,1.5708465576171875,-0.7540419737445276,0
25,1788173772.666167,-0.09258593986921712,-0.4890684555242381,0.2858831207403489,-1.2021584382800585,2.9024544512489547,-0.00010630176000270462,-1.5368354956256312,-1.5678094069110315,-1.5737298170672815,-1.570796314870016,1.5708465576171875,-0.7513917128192347,0
26,1788173772.7030573,-0.09098612664520718,-0.4897918739094258,0.2858893771816285,-1.202426422491728,2.9023654865505537,-0.00019323005191706385,-1.533597771321432,-1.5687812010394495,-1.57275897661318,-1.5707362333880823,1.5708465576171875,-0.7483332792865198,0
27,1788173772.7436311,-0.08938721884054764,-0.49060737171217494,0.2859132133921927,1.2023232426343449,-2.9024138947721063,0.00018525688481322273,-1.5303719679461878,-1.5700166861163538,-1.5714643637286585,-1.570796314870016,1.5708345174789429,-0.7450349966632288,0
