frame_index,timestamp,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,suction_on
0,1788171021.42503,-0.10912088215841409,-0.4868822997667482,0.2858691625538195,-1.2022307196985391,2.902421486877719,-8.837174124617715e-05,-1.5707600752459925,-1.570723835621969,-1.5708525816546839,-1.5707724730121058,1.5708465576171875,-0.7853668371783655,0
1,1788171021.4675987,-0.1091272521936645,-0.4868765477446716,0.2858562390939664,-1.202181719072265,2.9024030111510517,-5.087443621019024e-05,-1.5707843939410608,-1.5707357565509241,-1.5708649794207972,-1.5707839171039026,1.5708705186843872,-0.7853668371783655,0
2,1788171021.5077367,-0.10912943513595506,-0.48687555594416837,0.2858669056471175,-1.2022314847866384,2.902423336810251,-4.653536462365007e-05,-1.5707719961749476,-1.570723835621969,-1.5708525816546839,-1.570796314870016,1.5708345174789429,-0.7853787581073206,0
3,1788171021.5494897,-0.10911209713359384,-0.48688365249958515,0.2858642996846828,-1.2022271547557783,2.9024109221837615,-9.560748860504734e-05,-1.5707476774798792,-1.570723835621969,-1.5708649794207972,-1.5707600752459925,1.5708585977554321,-0.7853549162494105,0
4,1788171021.591992,-0.10912121573620137,-0.4868888955752757,0.28586566082640213,-1.2022240647889997,2.902405416757611,-0.00012076613831508346,-1.5707719961749476,-1.5707357565509241,-1.5708525816546839,-1.5707481543170374,1.5708705186843872,-0.7853787581073206,0
5,1788171021.6312284,-0.10912450332819397,-0.48688508887479287,0.28586655700581065,-1.202186193191484,2.9024138022709254,-0.000144610759241487,-1.5707843939410608,-1.570723835621969,-1.5708649794207972,-1.5707362333880823,1.5708825588226318,-0.7853668371783655,0
6,1788171021.6729786,-0.10911846699134502,-0.4868881269650869,0.28584665567357836,-1.202247974652621,2.9023633295904743,-5.742071238743205e-05,-1.5707719961749476,-1.5707600752459925,-1.5708649794207972,-1.5707600752459925,1.5708825588226318,-0.785403076802389,0
7,1788171021.7148116,-0.109127252096241,-0.48688471227482194,0.285869163231207,-1.2022042573277847,2.9024084873419143,-0.00010277464948717852,-1.5707843939410608,-1.5707357565509241,-1.5708406607257288,-1.5707724730121058,1.5708705186843872,-0.7853787581073206,0
8,1788171021.7571807,-0.10912363092197082,-0.4868822998664005,0.2858691624322941,-1.202304867827282,2.902402814396406,-8.113590186594354e-05,-1.5707600752459925,-1.570723835621969,-1.5708525816546839,-1.5707724730121058,1.5708345174789429,-0.785414997731344,0
9,1788171021.7940657,-0.10912363110958168,-0.48687712461448146,0.28586892985847645,-1.2022349065051083,2.902431595680511,-8.044315977964813e-05,-1.5707600752459925,-1.570711914693014,-1.5708649794207972,-1.5707724730121058,1.5708345174789429,-0.7853668371783655,0
10,1788171021.8327785,-0.10912393729115724,-0.4868886127817938,0.2858678478838117,-1.2021901175743088,2.9024213272587764,-7.830820310747055e-05,-1.5707719961749476,-1.5707481543170374,-1.5708287397967737,-1.5707839171039026,1.5708585977554321,-0.7853549162494105,0
11,1788171021.8747332,-0.1091148462996435,-0.4868753792025353,0.28586086926787946,-1.2022434036211198,2.902401224159303,-3.577903220564855e-05,-1.5707476774798792,-1.570723835621969,-1.5708649794207972,-1.570796314870016,1.5708465576171875,-0.7853668371783655,0
12,1788171021.9161677,-0.10912450343478736,-0.4868761557243424,0.28584416670198404,-1.2021911295366374,2.90237680344225,-2.212862664140165e-05,-1.5707843939410608,-1.5707481543170374,-1.5708773771869105,-1.5707839171039026,1.5708825588226318,-0.7853787581073206,0
13,1788171021.9592106,-0.10912121587392978,-0.48688323477076806,0.28585358765482183,-1.2022031330755667,2.902403817766437,-8.478163210606377e-05,-1.5707719961749476,-1.5707357565509241,-1.5708773771869105,-1.5707481543170374,1.5708705186843872,-0.7853668371783655,0
14,1788171021.999344,-0.1091299735177942,-0.48689531522174617,0.2858805400367601,-1.2021772938124033,2.9024412522137286,-0.00012951695011275834,-1.5707843939410608,-1.5707481543170374,-1.5708048979388636,-1.5707724730121058,1.5708585977554321,-0.7853549162494105,0
15,1788171022.0396364,-0.10931083528709346,-0.48687990267559306,0.285878283496861,-1.2022437021978598,2.90240389750489,-9.494301433671107e-05,-1.571155850087301,-1.570820156727926,-1.570732895527975,-1.570796314870016,1.5708585977554321,-0.7857745329486292,0
16,1788171022.0784883,-0.1101953589294083,-0.4868810815376429,0.28583689498777365,-1.2023579780892937,2.9023333647002354,3.5270393341804094e-05,-1.5729664007769983,-1.5713360945331019,-1.5703018347369593,-1.570796314870016,1.5708465576171875,-0.7876694838153284,0
17,1788171022.1174047,-0.11176247916197458,-0.4868956824224111,0.2858188730840272,-1.2024055488795355,2.9022505538193686,5.822577807450965e-05,-1.5762046019183558,-1.572235409413473,-1.5694387594806116,-1.570796314870016,1.570894479751587,-0.7909558455096644,0
18,1788171022.1596081,-0.11327290633337786,-0.4868792152293921,0.28582875745008707,-1.2023073252571554,2.9023559135042767,7.719095968960869e-05,-1.5792740027057093,-1.57300311723818,-1.5686472097979944,-1.570808235798971,1.5708345174789429,-0.7939417997943323,0
19,1788171022.2027671,-0.11432893461216136,-0.4868973893954048,0.2857784973591574,-1.2023704063141234,2.9023105293795664,0.0001897250837696125,-1.5814321676837366,-1.573663059865133,-1.5680959860431116,-1.5707724730121058,1.5708225965499878,-0.7961481253253382,0
20,1788171022.2461686,-0.11479477297115162,-0.4868677240502764,0.285797192463082,-1.2020436109319144,2.9024101586243938,0.00016668325677364495,-1.5824039618121546,-1.5738547484027308,-1.5678561369525355,-1.570820156727926,1.5708585977554321,-0.7969034353839319,0
21,1788171022.2879434,-0.11477154490840821,-0.4868620837215419,0.28580393883162214,-1.2019522010925567,2.902434125581226,0.00011814991876775519,-1.5823677221881312,-1.5738189856158655,-1.5678804556476038,-1.570808235798971,1.5708825588226318,-0.7968075911151331,0
22,1788171022.329632,-0.11476003273020821,-0.4868730941520749,0.285816907087991,-1.201974957118624,2.902440130130025,6.581732831377377e-05,-1.582343880330221,-1.5738189856158655,-1.5678561369525355,-1.570796314870016,1.5708825588226318,-0.796795670186178,0
23,1788171022.3705635,-0.11475713120144351,-0.4868877692529666,0.2858156450870953,-1.202054540119112,2.902434579261179,2.091643377401339e-05,-1.582331959401266,-1.5738309065448206,-1.5678561369525355,-1.5707481543170374,1.5708705186843872,-0.7968319098102015,0
24,1788171022.4126956,-0.11475430986060922,-0.4868814938133283,0.28579458576900385,-1.2019868731923107,2.9024199719060575,0.0001174660072729082,-1.582331959401266,-1.5738547484027308,-1.5678685347186487,-1.5707839171039026,1.5708825588226318,-0.796795670186178,0
25,1788171022.4513547,-0.11477700768464155,-0.4871270341495682,0.2859060100004836,1.2020171474288408,-2.9025419810789153,0.00020600113515337323,-1.582355801259176,-1.574310604725973,-1.5671847502337855,-1.5707724730121058,1.5708465576171875,-0.7968075911151331,0
26,1788171022.4900181,-0.11477875390102471,-0.4875753821705453,0.28591195508662204,1.2020410186991244,-2.9025017527724652,0.0001651668881828402,-1.582331959401266,-1.5753663221942347,-1.56610614458193,-1.570808235798971,1.5708105564117432,-0.7968075911151331,0
27,1788171022.5315266,-0.11461613596911407,-0.48870907063459745,0.2860173113566904,1.202224504258611,-2.9023516337841198,0.0006087540938741354,-1.5819957892047327,-1.5777891317950647,-1.5634687582599085,-1.5707362333880823,1.5708585977554321,-0.7966159025775355,0
28,1788171022.5804074,-0.11451850238728574,-0.4901806445468281,0.28586498946463523,-1.2022842207398379,2.90234905407475,-0.0001074536047384765,-1.581780258809225,-1.581388298665182,-1.5601361433612269,-1.5708320776568812,1.570894479751587,-0.7964361349688929,0
29,1788171022.6203537,-0.11463149901234625,-0.4914085598169469,0.2858370613430988,-1.2025132953471345,2.902310996123306,-0.00010889045876611027,-1.5819600264178675,-1.5843151251422327,-1.5572474638568323,-1.5707724730121058,1.5708465576171875,-0.7967599073993128,0
