frame_index,timestamp,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,suction_on
0,1788171348.8394608,-0.10912393721409684,-0.4868917796672062,0.2858282327615512,-1.2021725163352386,2.902378848328809,9.607392411368743e-05,-1.5707719961749476,-1.570820156727926,-1.5708287397967737,-1.5708320776568812,1.5708585977554321,-0.7853549162494105,0
1,1788171348.878517,-0.10912031591241762,-0.48688974457653567,0.28583984068311374,-1.2022413299609553,2.902396222094619,8.31146946355947e-05,-1.5707476774798792,-1.570796314870016,-1.5708287397967737,-1.5708320776568812,1.5708225965499878,-0.7853668371783655,0
2,1788171348.9169006,-0.10911451236885429,-0.4868804420892086,0.2858471685851769,-1.2022898060125302,2.902366462764397,0.00011702176279731075,-1.5707357565509241,-1.5707839171039026,-1.5708168188678187,-1.5708797613727015,1.5708225965499878,-0.7853906790362757,0
3,1788171348.9550712,-0.10911484562442515,-0.4868892583829337,0.28583286355924453,-1.2022465939813802,2.9023600067067727,0.00010400304285226086,-1.5707476774798792,-1.570808235798971,-1.5708287397967737,-1.5708444754229944,1.5708465576171875,-0.7853787581073206,0
4,1788171348.9956424,-0.10911813318768059,-0.4868880145110096,0.2858375848208409,-1.2022244145813894,2.902357351007732,9.607305746965345e-05,-1.5707600752459925,-1.570808235798971,-1.5708168188678187,-1.5708559195147913,1.5708585977554321,-0.7853787581073206,0
5,1788171349.0360875,-0.10911179033282532,-0.48688849795337175,0.28585050789290956,-1.2022388608885324,2.9023902621055124,5.8650583757131415e-05,-1.5707357565509241,-1.5707839171039026,-1.5708168188678187,-1.5708444754229944,1.5708345174789429,-0.7853549162494105,0
6,1788171349.0769193,-0.10911484585181862,-0.48688458431790405,0.2858494249930129,-1.2022156274932505,2.9023831052227633,6.802109987467304e-05,-1.5707476774798792,-1.5707839171039026,-1.5708168188678187,-1.5708559195147913,1.5708465576171875,-0.7853549162494105,0
7,1788171349.1184862,-0.10912635195322107,-0.48689655650534786,0.28584322522044336,-1.2022631755051885,2.9024019857809127,3.1213861883162246e-05,-1.5707600752459925,-1.570796314870016,-1.5708287397967737,-1.570796314870016,1.5708225965499878,-0.7853906790362757,0
8,1788171349.1605265,-0.1091181332863674,-0.4868852921470657,0.28582242881837894,-1.2022399673111845,2.902345970056945,0.00011337163821267435,-1.5707600752459925,-1.570808235798971,-1.5708525816546839,-1.5708320776568812,1.5708585977554321,-0.7853906790362757,0
9,1788171349.2008924,-0.1091117897296802,-0.48689845564517825,0.2858246845828082,-1.2022353687123455,2.9023818333215754,9.325036965991893e-05,-1.5707357565509241,-1.570820156727926,-1.5708406607257288,-1.570808235798971,1.5708345174789429,-0.7853549162494105,0
10,1788171349.2384343,-0.10910357099078494,-0.4868929032679125,0.285827059776616,-1.2022709725097358,2.902321009039964,0.00010690003351950833,-1.5707357565509241,-1.570820156727926,-1.5708287397967737,-1.5708444754229944,1.5708705186843872,-0.7853906790362757,0
11,1788171349.2814379,-0.10910323704369071,-0.48689469055942786,0.28584338873237775,-1.202283009210694,2.902350058385406,8.601286309585061e-05,-1.570723835621969,-1.570808235798971,-1.5708048979388636,-1.5708559195147913,1.5708465576171875,-0.7853787581073206,0
