frame_index,timestamp,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,suction_on
0,1788172005.0180178,-0.10914433096484714,-0.48691165732225056,0.28581007383863666,-1.2021501431901493,2.9024246460407275,1.750210514017522e-05,-1.570808235798971,-1.5708444754229944,-1.5708649794207972,-1.5707123915301722,1.5708465576171875,-0.7853668371783655,0
1,1788172005.0597656,-0.10889588919812039,-0.48688831217221307,0.2858069187719516,-1.2023582181914403,2.9023359019411696,7.598922095430396e-05,-1.5702922979937952,-1.5706761519061487,-1.5710328261004847,-1.5707481543170374,1.5708345174789429,-0.7849949041949671,0
2,1788172005.1075943,-0.1078105632792487,-0.4868423335163631,0.2857462394848094,-1.202458384928198,2.9022352350586575,0.0002854024537456709,-1.5680621306048792,-1.5700767675982874,-1.571751896535055,-1.5707724730121058,1.5708345174789429,-0.7828481833087366,0
3,1788172005.147706,-0.10588099687195805,-0.48678014614435383,0.2857532789241142,-1.2024806207933225,2.902189125848944,0.0002202286502973685,-1.5641163031207483,-1.5689247290240687,-1.572890583668844,-1.5707600752459925,1.5708825588226318,-0.7789266745196741,0
4,1788172005.1875658,-0.10431896797221513,-0.4867792904734363,0.28574562369622203,-1.2024487503117294,2.9022608965004566,0.00021375669028912174,-1.5608790556537073,-1.568108860646383,-1.5737298170672815,-1.5707123915301722,1.5708345174789429,-0.7756531874286097,0
5,1788172005.2297757,-0.10276470902922165,-0.48675768087987403,0.28575187980798855,-1.2022799665558497,2.9022977162958092,0.00023431350910069857,-1.5576890150653284,-1.5672934691058558,-1.5745208899127405,-1.5707600752459925,1.5708585977554321,-0.7723549048053187,0
6,1788172005.273126,-0.10114941420895951,-0.48679754257278646,0.28584030607950106,-1.2024687844815136,2.9023131505817146,-5.552039331467387e-05,-1.5543559233294886,-1.5664780775653284,-1.5751565138446253,-1.5707362333880823,1.5708465576171875,-0.7691291014300745,0
7,1788172005.3158102,-0.0992538921010308,-0.48679049047527745,0.2859237223957075,-1.202307593681909,2.9024171998186508,-0.0002978036926877301,-1.5504582563983362,-1.5654585997210901,-1.5759957472430628,-1.5707600752459925,1.5708705186843872,-0.765111271535055,0
8,1788172005.3584619,-0.09763253677804871,-0.48678291502569154,0.2858941929520813,-1.202300833672648,2.9024008880813965,-0.00022861147182536942,-1.547112290059225,-1.564690891896383,-1.576822582875387,-1.5707481543170374,1.5708705186843872,-0.7617653051959437,0
9,1788172005.4011428,-0.09571599139018226,-0.4867815567858789,0.28587898486371555,-1.202181113444906,2.9024602593639575,-0.0001625533705370494,-1.5431435743915003,-1.563803497944967,-1.5777338186847132,-1.5707600752459925,1.5708465576171875,-0.7577117125140589,0
10,1788172005.4412434,-0.09409932957648866,-0.48678805699318,0.2858609140581171,-1.2023897897002875,2.902376874308084,-0.00012216043849156704,-1.5397980848895472,-1.5630834738360804,-1.5784886519061487,-1.5707481543170374,1.5708345174789429,-0.7545092741595667,0
11,1788172005.483363,-0.09249199332138985,-0.4867897953668985,0.285857549106042,-1.2024241373606745,2.90235802097207,-0.0001052665668815391,-1.5364754835711878,-1.5623639265643519,-1.579207722340719,-1.5707600752459925,1.5708345174789429,-0.7512114683734339,0
12,1788172005.526266,-0.09091486538519124,-0.486788640780072,0.2857957351560687,-1.20251095459703,2.9022720931058483,8.933530547950702e-05,-1.5332134405719202,-1.5617278257953089,-1.579963509236471,-1.5707724730121058,1.5708345174789429,-0.748021427785055,0
13,1788172005.5654423,-0.08931116166406683,-0.48690504991719974,0.2858562960357638,-1.2023846825770175,2.9023625830937285,-0.00017016923562669024,-1.5299161116229456,-1.5612128416644495,-1.5803592840777796,-1.5707243124591272,1.5708585977554321,-0.7446277777301233,0
14,1788172005.6067574,-0.08775596087336554,-0.4870162852681966,0.2858415155390137,-1.2021920245913553,2.9024435507268733,-1.062718073762507e-05,-1.5266903082477015,-1.560852352772848,-1.5807307402240198,-1.570808235798971,1.5708225965499878,-0.7412689367877405,0
15,1788172005.6469057,-0.08611144127617329,-0.4872712255806459,0.28587633030765125,-1.2022038811905833,2.902374307977868,-8.465048286148555e-05,-1.5233448187457483,-1.5607565085040491,-1.580742661152975,-1.5708678404437464,1.570894479751587,-0.7379472891436976,0
16,1788172005.6888998,-0.08420976429329009,-0.4877404053023506,0.28589881634716063,-1.2023484124185684,2.9023298399747866,-3.554124788820767e-05,-1.5194466749774378,-1.5610922018634241,-1.5803473631488245,-1.5709517637835901,1.5708705186843872,-0.7341449896441858,0
17,1788172005.7319403,-0.08256574272989642,-0.488385689121617,0.28582636274954143,-1.2025436181524098,2.9022120104833338,0.0002874105941053554,-1.5161011854754847,-1.5620644728290003,-1.579520050679342,-1.5710118452655237,1.5708345174789429,-0.7309430281268519,0
18,1788172005.7707615,-0.08102982241745331,-0.48921607479344,0.28587622743309266,-1.2026253078148739,2.9022134857439377,8.57611494038761e-05,-1.513031307850973,-1.5633590857135218,-1.5781415144549769,-1.5709636847125452,1.5708465576171875,-0.7279208342181605,0
19,1788172005.812018,-0.07951278564036536,-0.4902306678859806,0.28586094975163456,-1.2023810566044848,2.9022638470617936,0.0002428038079349635,-1.5100329558001917,-1.5652425924884241,-1.5762837568866175,-1.571047608052389,1.5708585977554321,-0.7247665564166468,0
20,1788172005.8509648,-0.07814370161855135,-0.49134805956652616,0.285840988602337,-1.2022673466290286,2.9023357397167984,0.00025696344791546435,-1.5073469320880335,-1.5673773924456995,-1.574209992085592,-1.5709875265704554,1.5708345174789429,-0.7219961325274866,0
21,1788172005.8919234,-0.07671003359764611,-0.49243210752302585,0.285772678521263,-1.202333923512078,2.902253789581147,0.0005506953121531794,-1.5045412222491663,-1.5695245901690882,-1.572195831929342,-1.571047608052389,1.5708225965499878,-0.7192495504962366,0
22,1788172005.9343014,-0.07536160212101095,-0.49355592905456214,0.2858479784035448,-1.2022854548744366,2.9023324828459134,0.00024357584126869465,-1.5019386450396937,-1.5715997854815882,-1.5699780623065394,-1.5709875265704554,1.5708345174789429,-0.7165992895709437,0
23,1788172005.9774497,-0.07370378243287778,-0.4948671340659483,0.28586122657780677,-1.2022500668708174,2.902346866154801,0.0001276274667963706,-1.4987486044513147,-1.5740950743304651,-1.5674603621112269,-1.570939842854635,1.5708585977554321,-0.7133849302874964,0
24,1788172006.0192375,-0.07237258749520961,-0.49602209354769783,0.2858595179207776,-1.2021347657716812,2.902414927964733,0.0001604658922157206,-1.4961941877948206,-1.5763862768756312,-1.5651591459857386,-1.5709636847125452,1.5708345174789429,-0.7107461134540003,0
