frame_index,timestamp,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,suction_on
0,1788172358.2549675,-0.10913400521672904,-0.4868914414464137,0.2858607521655643,1.2022237700238294,-2.9024027595003443,5.5229222284744935e-05,-1.5707476774798792,-1.5707357565509241,-1.5708649794207972,-1.5707362333880823,1.5707626342773438,-0.7853549162494105,0
1,1788172358.2942042,-0.1091282008458518,-0.4868954638731999,0.28586188063925955,1.20222202421157,-2.902398545593207,7.253017460710662e-05,-1.5707357565509241,-1.5707357565509241,-1.5708649794207972,-1.5707243124591272,1.5707626342773438,-0.7853429953204554,0
2,1788172358.3357482,-0.10912206381570301,-0.48688406661004713,0.28584902925634553,1.2023477025070377,-2.902357478728997,-6.435702840918805e-05,-1.570711914693014,-1.5707481543170374,-1.5708649794207972,-1.570796314870016,1.570738673210144,-0.785403076802389,0
3,1788172358.3743856,-0.10912239678125675,-0.4868941521342002,0.2858656603276471,1.2023101979066737,-2.9023667603832712,5.592074163626833e-05,-1.570723835621969,-1.5707357565509241,-1.5708525816546839,-1.5707481543170374,1.5707626342773438,-0.7853906790362757,0
4,1788172358.4137375,-0.1091305892212816,-0.48688614710672745,0.2858593916338631,1.2022993953665548,-2.9023406851685345,1.566975959770639e-05,-1.570723835621969,-1.570723835621969,-1.5708773771869105,-1.5707481543170374,1.570726752281189,-0.7853906790362757,0
5,1788172358.454786,-0.10912820152235397,-0.486884294963773,0.2858550654384322,1.2022844686669107,-2.902402500877146,-3.196335180929675e-05,-1.5707357565509241,-1.5707481543170374,-1.5708525816546839,-1.570796314870016,1.5707626342773438,-0.7853787581073206,0
6,1788172358.4922864,-0.10911659359622462,-0.48688297471109293,0.28588549154776055,1.2023084519438798,-2.902362546467934,7.322165019660578e-05,-1.570711914693014,-1.5706999937640589,-1.5708406607257288,-1.5707839171039026,1.5707626342773438,-0.7853787581073206,0
7,1788172358.5320654,-0.10912273116419431,-0.4868850628857303,0.28587388339801945,1.2023031172926995,-2.9023985925015725,5.302278832343044e-05,-1.5707357565509241,-1.570723835621969,-1.5708406607257288,-1.5707839171039026,1.5707865953445435,-0.7853906790362757,0
8,1788172358.574037,-0.10911931501909414,-0.48688445809313285,0.28587045369565,1.2023130368851889,-2.902373610429577,-2.113545476793777e-05,-1.570711914693014,-1.5707357565509241,-1.5708287397967737,-1.570820156727926,1.5707507133483887,-0.7853787581073206,0
9,1788172358.6152217,-0.1091421973176147,-0.4868864842708074,0.28587033639793147,1.2022283118242205,-2.9023647981225777,3.4353507901544405e-05,-1.5707476774798792,-1.570723835621969,-1.5708525816546839,-1.5707600752459925,1.570726752281189,-0.7853668371783655,0
10,1788172358.656237,-0.10913639376827311,-0.48687791914417666,0.28589592678773523,1.2022767868517532,-2.9023350399859176,6.82600317854409e-05,-1.5707357565509241,-1.5706880728351038,-1.5708287397967737,-1.570796314870016,1.570726752281189,-0.7853906790362757,0
11,1788172358.697964,-0.10911964976234667,-0.4868700849476156,0.28585950815461925,1.2023233949399257,-2.9023986139021654,-2.54186740927214e-05,-1.570723835621969,-1.570711914693014,-1.5708773771869105,-1.570808235798971,1.5707746744155884,-0.7853906790362757,0
12,1788172358.738417,-0.10912545369169203,-0.4868688929571314,0.2858550643413445,1.2022887257359025,-2.9024127779519615,-2.4726648208882454e-05,-1.5707357565509241,-1.570711914693014,-1.5708888212787073,-1.570796314870016,1.5707746744155884,-0.7853787581073206,0
13,1788172358.7796638,-0.10912786731858072,-0.4868910389502517,0.2858431073485679,1.2022725043562916,-2.9023736205817148,-1.1763833346062245e-05,-1.570723835621969,-1.5707481543170374,-1.5708888212787073,-1.5707362333880823,1.570738673210144,-0.7853668371783655,0
14,1788172358.821675,-0.10913092307043047,-0.4868842950591692,0.28585020252259175,1.2022629540566474,-2.902399491501232,-3.9127984440314165e-05,-1.5707357565509241,-1.5707481543170374,-1.5708649794207972,-1.5707839171039026,1.5707507133483887,-0.7853668371783655,0
15,1788172358.861996,-0.1091340055136222,-0.48688533865744305,0.2858443983664174,1.202304206443936,-2.902399262427405,-4.92642061235021e-05,-1.5707476774798792,-1.5707600752459925,-1.5708649794207972,-1.5707839171039026,1.5707626342773438,-0.785403076802389,0
16,1788172358.900424,-0.10891775847465301,-0.4869120663922084,0.2858454800695196,1.2022940529982404,-2.9023747520688055,-4.702259809215595e-05,-1.5702922979937952,-1.5706999937640589,-1.5709250609027308,-1.5707724730121058,1.570738673210144,-0.784947697316305,0
17,1788172358.9393833,-0.10786154732803578,-0.48692789025605626,0.28580229973957305,-1.2024645765726139,2.9023440820408912,0.00018910199679346285,-1.5681336561786097,-1.570244614277975,-1.5714643637286585,-1.570796314870016,1.5707626342773438,-0.7828968206988733,0
