frame_index,timestamp,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,suction_on
0,1788171860.727067,-0.10911266222694677,-0.4869059200608414,0.2858384355591874,-1.2022002489979837,2.902347943083708,6.575600538550605e-05,-1.5707600752459925,-1.5708444754229944,-1.5707810560809534,-1.5708444754229944,1.5708825588226318,-0.7853668371783655,0
1,1788171860.7667048,-0.1088898395842722,-0.48691537363877124,0.28585144794868805,-1.2023623993543764,2.9023440358571633,4.1384575044872026e-05,-1.570279900227682,-1.570723835621969,-1.5708773771869105,-1.5708320776568812,1.5708345174789429,-0.784982983266012,0
2,1788171860.8098278,-0.10820464696423676,-0.48697900569984165,0.28582821954558857,-1.2024990973219096,2.90223174329583,8.919660180078903e-05,-1.5688894430743616,-1.5705440680133265,-1.5711048285113733,-1.5708320776568812,1.5708705186843872,-0.7837002913104456,0
3,1788171860.850699,-0.10778696834415628,-0.4870102331190119,0.2858663985316172,-1.202535564222361,2.902272778396264,-5.941074607402739e-05,-1.5680258909808558,-1.5703404585467737,-1.5712369124041956,-1.570796314870016,1.5708585977554321,-0.7828481833087366,0
4,1788171860.8923256,-0.10769096198757673,-0.4870067603339316,0.28584914670075967,-1.202745458611324,2.902139525534165,5.471647453276489e-05,-1.567834202443258,-1.5703285376178187,-1.5712726751910608,-1.5708559195147913,1.5708705186843872,-0.7828124205218714,0
5,1788171860.9346282,-0.10772569216962276,-0.4870003051095399,0.2858538223448257,-1.2026321639146933,2.902210464928724,6.902137466783373e-05,-1.5678942839251917,-1.5703285376178187,-1.5712607542621058,-1.5708678404437464,1.5708465576171875,-0.7827885786639612,0
6,1788171860.9738872,-0.10771747422300687,-0.4869999042964907,0.28584221708067,-1.2026159436543928,2.9021713311980757,8.216237122582794e-05,-1.5678942839251917,-1.5703404585467737,-1.5712726751910608,-1.5708678404437464,1.5708825588226318,-0.7827885786639612,0
7,1788171861.012418,-0.10774555273557593,-0.4869871413703457,0.2858328144235993,-1.2026413724342866,2.9022326827463307,0.00012584821249665733,-1.5679181257831019,-1.5703166166888636,-1.5713203589068812,-1.5708444754229944,1.5708105564117432,-0.7828124205218714,0
8,1788171861.0527291,-0.10775474266730653,-0.4869857181867272,0.28583641014634914,-1.2025577625138926,2.9022265743885574,0.00012097378376868889,-1.567953888569967,-1.5703285376178187,-1.571296517048971,-1.5708678404437464,1.5708465576171875,-0.7828004995929163,0
9,1788171861.0909786,-0.10778130117468898,-0.48696175723017465,0.28584441269358807,-1.2025060473788614,2.9022504687462116,6.251451190304158e-05,-1.5680139700519007,-1.570268456135885,-1.5713446776019495,-1.5708444754229944,1.5708585977554321,-0.7828243414508265,0
10,1788171861.1307092,-0.10771467646498961,-0.48691231801958096,0.2858573212660533,-1.2022732015323367,2.902330300431905,7.20533589438889e-05,-1.5678823629962366,-1.570124928151266,-1.5714524427997034,-1.5708916823016565,1.5708705186843872,-0.7825363318072718,0
11,1788171861.1704483,-0.10737331775407656,-0.48685073155068204,0.2858434104260878,-1.202139110205581,2.902398015215444,7.858070581628923e-05,-1.5671747366534632,-1.5698006788836878,-1.5718119780169886,-1.5708559195147913,1.5708585977554321,-0.7817333380328577,0
12,1788171861.2091753,-0.10619240710393585,-0.4868174484780764,0.2858324967369934,-1.2020371453545817,2.9024473898092715,0.00010408847669509893,-1.5647404829608362,-1.5691173712359827,-1.5725191275226038,-1.5708444754229944,1.5708465576171875,-0.7792270819293421,0
13,1788171861.248363,-0.10452582856400768,-0.48684882124498496,0.2857828227118847,-1.2021137784396017,2.9023388352256303,0.00018056863733633912,-1.5613344351397913,-1.568385426198141,-1.5733588377581995,-1.570808235798971,1.570894479751587,-0.7758925596820276,0
14,1788171861.2923274,-0.10294172055564572,-0.48684647541702364,0.2858148608888391,-1.2019983500021731,2.9024065792763336,0.00011040945707072722,-1.558072868977682,-1.5675576368915003,-1.5741141478167933,-1.5708320776568812,1.570894479751587,-0.7725465933429163,0
15,1788171861.3321114,-0.10096501875391838,-0.4868698181411008,0.285861997032569,-1.2023845497465457,2.9023074862185463,4.206434523594855e-05,-1.5539839903460901,-1.5665982405291956,-1.5749643484698694,-1.5708797613727015,1.5708585977554321,-0.7687090078936976,0
16,1788171861.3721557,-0.09968782724338139,-0.4868807020395946,0.28588648169652053,-1.202225233206114,2.902414115312073,-5.602293282864859e-05,-1.5513456503497522,-1.5659621397601526,-1.5755522886859339,-1.5708559195147913,1.5708465576171875,-0.7659509817706507,0
17,1788171861.4147282,-0.09773430054285785,-0.48690592383654124,0.28589879140572017,-1.202136154127611,2.9024456633416826,-0.00014060078783669782,-1.547328297291891,-1.5650623480426233,-1.5764272848712366,-1.5708320776568812,1.5708705186843872,-0.7618735472308558,0
18,1788171861.457568,-0.09615100136627132,-0.4868910957076591,0.2859073963782269,-1.2020107484902383,2.902538281388866,-0.00013762086225367753,-1.5440424124347132,-1.5642707983600062,-1.5771945158587855,-1.5708444754229944,1.5708345174789429,-0.758491341267721,0
19,1788171861.500402,-0.09448140234160368,-0.48690448965089456,0.2858647334143914,-1.2022558880512022,2.9023922203984673,-2.1730062188585895e-05,-1.540600601826803,-1.5635750929461878,-1.5779736677752894,-1.5708444754229944,1.5708465576171875,-0.7552292982684534,0
20,1788171861.5425558,-0.09259578475330812,-0.48690473463507056,0.285847086703533,-1.2024093967033271,2.9023244036022513,-5.306461343082657e-06,-1.536703888569967,-1.562723461781637,-1.5788605848895472,-1.570820156727926,1.5708465576171875,-0.751439396535055,0
21,1788171861.5838668,-0.09100094874814033,-0.4868970211784461,0.28579247106560546,-1.2025104631380923,2.9022239575359987,0.00022387156888900413,-1.533405605946676,-1.5620759169207972,-1.5796039740191858,-1.5708797613727015,1.5708465576171875,-0.7482250372516077,0
22,1788171861.626979,-0.08939747198722744,-0.48692455489680797,0.2858284170878428,-1.2023973830047534,2.9022993257238623,5.902109944392515e-05,-1.5300963560687464,-1.5613802115069788,-1.5802272001849573,-1.5708444754229944,1.5708585977554321,-0.7448309103595179,0
23,1788171861.6678774,-0.08783629977897743,-0.4869270530698022,0.2858385958787366,-1.2021630537356562,2.902373611747713,-1.402643653855989e-05,-1.5268824736224573,-1.5606964270221155,-1.5808866659747522,-1.5708320776568812,1.570894479751587,-0.7414611021624964,0
24,1788171861.70939,-0.08622273780036235,-0.4869280627387398,0.285881065192777,-1.2021169475667899,2.9024599724558944,-0.00011844628336197,-1.523524586354391,-1.5599644819842737,-1.581522289906637,-1.5708444754229944,1.5708585977554321,-0.7380550543414515,0
25,1788171861.7476778,-0.0842947752373368,-0.4869270427681591,0.2858949888768544,-1.2024084031359328,2.902376790989695,-0.00015988374744335497,-1.5195191542254847,-1.5591371695147913,-1.5823128859149378,-1.5708444754229944,1.5708345174789429,-0.7342413107501429,0
26,1788171861.785992,-0.08294737502108192,-0.4869202648523803,0.2858564665220812,-1.2025194847039478,2.902251581319093,-6.201934804815669e-05,-1.5167487303363245,-1.5586212317096155,-1.582900349293844,-1.5708559195147913,1.5708825588226318,-0.7315667311297815,0
27,1788171861.825829,-0.08139433113290392,-0.4869130446329836,0.28586918333138606,-1.2025055416008104,2.9023196741476998,-0.00014979949135394315,-1.5135110060321253,-1.5579374472247522,-1.583559815083639,-1.570808235798971,1.5708465576171875,-0.7283042112933558,0
28,1788171861.8667998,-0.07976214573192103,-0.4868951238040761,0.2858680246667583,-1.2024115892506595,2.9023375144005787,-0.00012045277946915113,-1.5101292769061487,-1.5572660605060022,-1.5842188040362757,-1.5708444754229944,1.5708585977554321,-0.7248628775226038,0
29,1788171861.9094946,-0.07816458617274052,-0.4869327579642789,0.28583375231045804,-1.2023219159721779,2.9023206800427115,-8.343575234513581e-06,-1.5068309942828577,-1.55678636232485,-1.5847585836993616,-1.5708678404437464,1.5708825588226318,-0.7215159575091761,0
30,1788171861.9509223,-0.07621344946596352,-0.48703514715650703,0.2858265595034234,-1.202230512225162,2.9023466213634426,-1.5167725936542704e-05,-1.5028017202960413,-1.5562942663775843,-1.585261646901266,-1.5708559195147913,1.570894479751587,-0.7174266020404261,0
31,1788171861.9924254,-0.07466522867962751,-0.48722869448981837,0.2858670120645336,-1.2021730054314534,2.9024563366512246,-0.0002107507714157985,-1.4995997587787073,-1.5561025778399866,-1.585381809865133,-1.5707839171039026,1.5708585977554321,-0.7141640822040003,0
32,1788171862.0307767,-0.07306308180228999,-0.48752215394064746,0.2858509416774391,-1.2022283470819584,2.9023922708152425,-9.129395578872629e-05,-1.4963257948504847,-1.556269947682516,-1.5852378050433558,-1.5708444754229944,1.5708705186843872,-0.7109382788287562,0
33,1788171862.073846,-0.0714783269379969,-0.48786714485233185,0.2858502186164096,-1.2023271206640067,2.902339115239763,2.3050056404284243e-05,-1.4930880705462855,-1.5565703550921839,-1.5849264303790491,-1.57092792192568,1.5708585977554321,-0.7077716032611292,0
34,1788171862.1154416,-0.06989741951651093,-0.48832057660713524,0.285873155823333,-1.2021598709600396,2.902428552448623,-6.712738537995258e-05,-1.4898861090289515,-1.5570738951312464,-1.5843866507159632,-1.5709036032306116,1.5708585977554321,-0.704449478779928,0
35,1788171862.1580486,-0.0682637699848697,-0.4888554349168037,0.2859012244962049,-1.2022142427467768,2.9024130152752843,-0.0001610392139533564,-1.4866002241717737,-1.5577696005450647,-1.5836437384234827,-1.5708916823016565,1.5708705186843872,-0.7011993567096155,0
