frame_index,timestamp,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,suction_on
0,1788170627.3017757,-0.10910937474930318,-0.48690084128031347,0.28590854896748985,-1.20232766146919,2.9024069322113446,-0.00027646855808449543,-1.5707476774798792,-1.5706999937640589,-1.5708048979388636,-1.5707243124591272,1.5708705186843872,-0.785414997731344,0
1,1788170627.3616853,-0.10910082171318568,-0.4869013901707537,0.2858853313623479,-1.20224652880194,2.9024087493881203,-0.00021450153648172807,-1.5707357565509241,-1.570723835621969,-1.5708287397967737,-1.5707243124591272,1.5708825588226318,-0.7853549162494105,0
2,1788170627.4047215,-0.10911541096860958,-0.4869065242601834,0.2858958120848909,-1.202287132284357,2.9024089127200683,-0.00022456746056553708,-1.5707600752459925,-1.5707357565509241,-1.5707929770099085,-1.5707362333880823,1.5708705186843872,-0.785403076802389,0
3,1788170627.4472742,-0.10910390472073624,-0.4868950228105223,0.28589000720016544,-1.2023468063747822,2.9023552953916716,-0.00022166926356488747,-1.5707476774798792,-1.570711914693014,-1.5708287397967737,-1.5707362333880823,1.570894479751587,-0.7854388395892542,0
4,1788170627.4889767,-0.10911484481443148,-0.48690590832377717,0.2859038731006694,1.2022722639480097,-2.9024219509223896,0.0002620655230895733,-1.5707476774798792,-1.570711914693014,-1.5708048979388636,-1.5707123915301722,1.5708465576171875,-0.7853787581073206,0
5,1788170627.5316842,-0.10910629150755251,-0.4869099302340043,0.2859050020222602,1.2023093759588923,-2.902413678372299,0.00028660316154111774,-1.5707357565509241,-1.570711914693014,-1.5708048979388636,-1.570700470601217,1.5708585977554321,-0.7853906790362757,0
6,1788170627.574267,-0.10910937440699159,-0.4869078774964018,0.2858864601161386,-1.2022871316054347,2.9024089110811,-0.0002245670353963012,-1.5707476774798792,-1.5707357565509241,-1.5708168188678187,-1.5707123915301722,1.5708705186843872,-0.7853906790362757,0
7,1788170627.6158612,-0.10910904076556849,-0.48690176687484216,0.28589226369530746,1.2023629451167392,-2.902394261405484,0.00022746578519825013,-1.5707357565509241,-1.570711914693014,-1.5708287397967737,-1.5707123915301722,1.5708465576171875,-0.7854269186602991,0
8,1788170627.6566675,-0.10910357094844315,-0.48689360251418917,0.28588420213963467,-1.202336230740495,2.9023787000586396,-0.0001899666785841059,-1.5707357565509241,-1.570711914693014,-1.5708406607257288,-1.5707362333880823,1.5708705186843872,-0.785414997731344,0
9,1788170627.6992836,-0.10910629212138057,-0.48689979612972567,0.2859190289992234,1.2023619656879514,-2.902391889225247,0.0002866029403407972,-1.5707357565509241,-1.5706880728351038,-1.5707929770099085,-1.5707362333880823,1.5708585977554321,-0.7854269186602991,0
10,1788170627.7361956,-0.10912668563228635,-0.48690597518945034,0.2859143538363683,1.2023051150818673,-2.9024033967199054,0.0002793641549841055,-1.5707719961749476,-1.570711914693014,-1.5707810560809534,-1.5707243124591272,1.5708465576171875,-0.7854269186602991,0
11,1788170627.778141,-0.10911813279899103,-0.48689873682024054,0.28589000694054567,-1.2023242004014576,2.9024005443349696,-0.0002001026207142363,-1.5707600752459925,-1.570723835621969,-1.5708168188678187,-1.5707362333880823,1.5708585977554321,-0.7854269186602991,0
12,1788170627.8236897,-0.10894035256560579,-0.486923770764554,0.28591571224561046,1.20241559722246,-2.902376522625781,0.00031176214682020854,-1.5704005400287073,-1.5706518332110804,-1.5708406607257288,-1.5707123915301722,1.5708705186843872,-0.7851269880877894,0
13,1788170627.8664129,-0.1083471369308683,-0.4869137360404306,0.2859727399696715,1.2023596521386137,-2.9023393388630945,0.0003767567937898071,-1.569165054951803,-1.5702803770648401,-1.5710809866534632,-1.5707839171039026,1.5708345174789429,-0.7838676611529749,0
14,1788170627.9036884,-0.10745745762596562,-0.4869264189340649,0.2860277768184635,1.202240340210093,-2.9023468182120506,0.0005767394878315249,-1.5673425833331507,-1.5697763601886194,-1.5714762846576136,-1.5707600752459925,1.5708465576171875,-0.7819731871234339,0
15,1788170627.9422615,-0.10591219661485667,-0.4869289511243713,0.28597734867763086,1.2022433236959733,-2.90240490142272,0.0004699724076993307,-1.5641768614398401,-1.5690324942218226,-1.5723274389850062,-1.5707362333880823,1.5708705186843872,-0.7787950674640101,0
16,1788170627.9832141,-0.1042920033666202,-0.48691729437520875,0.2858984760389988,-1.2023009383100305,2.9023972285970387,-0.00020824721251881418,-1.560843292866842,-1.5682771841632288,-1.5732386747943323,-1.5707600752459925,1.5708705186843872,-0.7754972616778772,0
17,1788170628.032081,-0.10272194881818437,-0.48691105177309735,0.2858928024635547,-1.202183217869487,2.9024575057800317,-0.00020117299498881078,-1.5576050917254847,-1.5674737135516565,-1.5740540663348597,-1.5707481543170374,1.5708585977554321,-0.7721751371966761,0
18,1788170628.0741062,-0.1007402554282346,-0.4869209004619654,0.28588793712651894,-1.2024407060070754,2.9023432047938167,-0.0002260556066718704,-1.553528134022848,-1.5665143171893519,-1.5750249067889612,-1.5707243124591272,1.5708705186843872,-0.7682774702655237,0
19,1788170628.1143606,-0.09916652943920604,-0.4869337602912364,0.28593262599845426,1.202233397577695,-2.9024338007322843,0.00034401867662025806,-1.5502784887896937,-1.5657342115985315,-1.575707737599508,-1.5707362333880823,1.5708585977554321,-0.7648838202105921,0
20,1788170628.1550076,-0.0975392068360697,-0.4869291232664616,0.2859365952227105,-1.2022051920598755,2.902465514693466,-0.00037515244676950953,-1.5469325224505823,-1.5649426619159144,-1.5764873663531702,-1.5707362333880823,1.5708825588226318,-0.7615135351764124,0
21,1788170628.1990259,-0.09593581042979245,-0.4869167519099031,0.2859289534065854,1.2021460100160881,-2.9024714000971765,0.00034490682883780435,-1.5436108748065394,-1.5641630331622522,-1.5772784391986292,-1.5707362333880823,1.5708585977554321,-0.758155647908346,0
22,1788170628.2416465,-0.09399374982475674,-0.48692828020649026,0.2858731786723379,-1.2023295462599422,2.9023743076691932,-0.00017648711980646685,-1.5396059195147913,-1.5633590857135218,-1.5781896750079554,-1.5707481543170374,1.5708705186843872,-0.754282299672262,0
23,1788170628.2810044,-0.0923923259422931,-0.4869203637922316,0.2858478085432262,-1.2024095652580444,2.9023228451353424,-0.00010685244245844475,-1.5362957159625452,-1.5626395384417933,-1.578956429158346,-1.5707481543170374,1.5708705186843872,-0.7510317007647913,0
24,1788170628.318052,-0.09079753829284262,-0.48700461425273406,0.28584488089367754,-1.202523974469135,2.9022585000332604,-9.559430686126618e-05,-1.5330103079425257,-1.5621359984027308,-1.5794599691974085,-1.5707600752459925,1.5708825588226318,-0.7478292624102991,0
25,1788170628.3587763,-0.08921783857277064,-0.48728350264881515,0.28585990561946156,-1.2022783072852596,2.902352390159759,-0.0001192607387258928,-1.5297721068011683,-1.5621002356158655,-1.5794599691974085,-1.5707839171039026,1.570894479751587,-0.7444236914264124,0
26,1788170628.39648,-0.08763407880053554,-0.48762767332170687,0.2858267941606508,-1.2021804701744196,2.902364777340476,4.733353927058991e-05,-1.526522461568014,-1.5622919241534632,-1.5793283621417444,-1.5708320776568812,1.5708825588226318,-0.7411134878741663,0
27,1788170628.43658,-0.08599744050488164,-0.4880187969545916,0.285731788113457,-1.202222449511574,2.9023213047524616,0.00015359374455655827,-1.5231769720660608,-1.5625675360309046,-1.579280201588766,-1.5706761519061487,1.5708825588226318,-0.7378032843219202,0
28,1788170628.4786072,-0.0844009531633707,-0.48842540205181334,0.2852918120408844,-1.2023893014935423,2.902183969660007,0.0006022051117427831,-1.5199030081378382,-1.563023869191305,-1.5798795858966272,-1.5699103514300745,1.5708465576171875,-0.7346609274493616,0
29,1788170628.5205824,-0.08277643876295611,-0.4889975031865034,0.28423139179298834,-1.202342915261297,2.902271581379257,0.00038412242050474494,-1.5166052023517054,-1.5636470953570765,-1.5820015112506312,-1.5670130888568323,1.5708345174789429,-0.7313144842730921,0
30,1788170628.564127,-0.08122221967300701,-0.4894583541334757,0.28263104755077845,-1.2012778643625064,2.9027026440989943,0.00043008827568755587,-1.51345140138735,-1.5641630331622522,-1.5855620543109339,-1.5629671255694788,1.5708345174789429,-0.727429215108053,0
