frame_index,timestamp,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,suction_on
0,1788172994.8647919,-0.10913577775449448,-0.4868940141787892,0.28584762110671624,-1.2021945942537937,2.9024340879906116,-0.00012951786807558732,-1.570796314870016,-1.5707481543170374,-1.5708888212787073,-1.570688549672262,1.5708585977554321,-0.7853787581073206,0
1,1788172994.9063091,-0.10913272235613836,-0.48688904811833805,0.28589339142127235,1.2022560161054894,-2.902433615019794,0.0002447652464422348,-1.5707843939410608,-1.5706880728351038,-1.5708525816546839,-1.570700470601217,1.5708465576171875,-0.785403076802389,0
2,1788172994.9455938,-0.10913852651795633,-0.48690228777761396,0.28586526669992407,-1.2021695572678393,2.902471504969946,-0.00017487335987480485,-1.570796314870016,-1.5707481543170374,-1.5708525816546839,-1.570688549672262,1.5708465576171875,-0.7853549162494105,0
3,1788172994.9849658,-0.109123937227588,-0.4868912253976812,0.2858547161631238,-1.202226393486886,2.9024110416219497,-9.491708590234729e-05,-1.5707719961749476,-1.5707481543170374,-1.5708649794207972,-1.5707362333880823,1.5708585977554321,-0.7853787581073206,0
4,1788172995.025901,-0.10913272271145245,-0.4868592711724943,0.28584536146394174,-1.2022299583865397,2.9024216062068753,-8.76809289883895e-05,-1.5707843939410608,-1.5706761519061487,-1.570960823689596,-1.5707123915301722,1.5708465576171875,-0.7853906790362757,0
5,1788172995.0677493,-0.10913305620786203,-0.48677254026210753,0.28581383841364233,-1.2021399951249152,2.902400148304766,1.97084515525419e-05,-1.570796314870016,-1.5705202261554163,-1.571176830922262,-1.5707362333880823,1.5708705186843872,-0.7853549162494105,0
6,1788172995.10832,-0.1091354743885501,-0.48661510935413443,0.2858045378554693,-1.202197568653179,2.9023923526344357,0.00011123815199705327,-1.5707843939410608,-1.5701726118670862,-1.5715363661395472,-1.5707724730121058,1.5708345174789429,-0.7853787581073206,0
7,1788172995.1504037,-0.1090161838216162,-0.4863209823669465,0.2857961706922889,-1.2022674854046542,2.9023125946854837,0.00014153205868086858,-1.5705559889422815,-1.5694411436664026,-1.5722797552691858,-1.570796314870016,1.5708705186843872,-0.7852109114276331,0
8,1788172995.1930861,-0.1087920327399016,-0.4859375633553241,0.28577693622294154,-1.2024031549197471,2.902244781616088,0.00013299619022233712,-1.5701001326190394,-1.5684216658221644,-1.5733464399920862,-1.5707481543170374,1.5708825588226318,-0.784851376210348,0
9,1788172995.235601,-0.10841096695400444,-0.4853877547088644,0.28576628877190335,-1.2024673348877357,2.9022548761164293,0.00015264553280996043,-1.5692971388446253,-1.5669220129596155,-1.5748685042010706,-1.5707243124591272,1.5708465576171875,-0.7840836683856409,0
10,1788172995.2786417,-0.1077565457159937,-0.48432148044260454,0.2858664628704413,-1.2023891992000215,2.902361749706141,-0.00010971323603602772,-1.567941967641012,-1.5639713446246546,-1.577590290700094,-1.5707724730121058,1.5708465576171875,-0.782656494771139,0
11,1788172995.3214636,-0.10705949405825252,-0.48306000160367263,0.2858731293026431,1.202499237341109,-2.9023318573287953,0.00015154919790812084,-1.5664790312396448,-1.5606125036822718,-1.5809105078326624,-1.5707724730121058,1.5708225965499878,-0.7812655607806605,0
12,1788172995.3650346,-0.10620736199470573,-0.4814706412523488,0.28592809065598146,1.2022240090862693,-2.902405264264819,0.0003967798201886273,-1.5647042433368128,-1.5563419500934046,-1.585022274647848,-1.5707724730121058,1.5708465576171875,-0.7793110052691858,0
13,1788172995.4078436,-0.10517348975061178,-0.4795963298998427,0.2858640633937297,1.2024408384347247,-2.9023396224508935,0.00021202294941384525,-1.562509838734762,-1.551448170338766,-1.589961353932516,-1.5708444754229944,1.5708225965499878,-0.7772601286517542,0
14,1788172995.4483705,-0.10429131217399731,-0.47803235156876805,0.2858708878540889,1.2023731681681287,-2.902373929173622,0.000240632313711115,-1.5606392065631312,-1.5472982565509241,-1.5940011183368128,-1.570939842854635,1.5708345174789429,-0.7753413359271448,0
15,1788172995.4876578,-0.10353240607939661,-0.4764374118669004,0.2858303073816398,-1.20219760725732,2.902443325126078,-6.894036574297048e-05,-1.5590084234820765,-1.543208424245016,-1.5980528036700647,-1.5710957686053675,1.5708345174789429,-0.773590389882223,0
